Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	WIN	SPR	SUM	AUT	ANN
1989   4	4.4	80.5	106.9	130.8	224.2	189.1	232.5	115.8	94.7	65.8	46.3	32.3	153.2	461.9	537.3	206.9	1363.3
1990   4	9.5	56.3	79.7	159.9	194.8	136.2	209	103.2	109.7	65.4	65.9	44.7	138.2	434.4	448.4	241	1274.3
1991   5	8.4	55.2	81.1	144	153.8	123.6	133.3	151.8	164.4	72.5	52.5	23.1	158.2	378.9	408.6	289.4	1213.5
1992   2	7.3	51.7	66.6	82	186.9	161.8	127	149	94	81.8	45.4	33.2	102.2	335.4	437.8	221.2	1106.8
1993   3	3.3	24.4	82.2	115.6	137.7	103.8	99.3	137.5	98.5	91.8	56.8	33.1	90.9	335.5	340.5	247.1	1013.9
1994   4	4.6	37.7	95.2	164.4	158.3	104.8	125.4	119.9	114	97.3	53.5	39.4	115.5	417.8	350	264.9	1154.6
1995   3	1.7	56.7	88.3	153.2	162.9	217.4	154.2	233.6	126.4	89.1	44.2	41.8	127.8	404.4	605.2	259.7	1399.4
1996   2	1.5	96.8	50.2	116.6	184.2	185.7	139.9	98.7	146.4	61	64	37.5	160.2	351	424.3	271.5	1202.6
1997   2	2.7	64.4	86.1	81.1	208	146.6	130.5	181.9	132.3	77.9	33.4	31.3	124.6	375.2	459	243.7	1196.2
1998   4	4.1	49.6	51.7	136.7	156.1	140.7	105.6	131.3	106.7	102.1	59.5	25.5	125	344.5	377.6	268.4	1109.7
1999   3	8.9	54.4	118.2	146.5	139.6	121.9	176.1	116.7	100.1	81	49.8	33.8	118.8	404.3	414.7	230.9	1176.9
2000   3	5.5	65.4	74	135.9	244.5	134.8	144	168.7	106.5	92.7	34.6	32.3	134.6	454.4	447.4	233.7	1268.7
2001   6	6.5	87.9	114.2	129.2	202.9	117.9	131.8	147.7	116.1	73	38.7	59.8	186.7	446.3	397.3	227.9	1285.6
2002   4	1.8	69.5	116.5	159.4	169.4	122.8	104.8	128.3	124.1	76.2	46.3	35.8	171	445.3	355.9	246.6	1194.8
2003   5	6.7	81.4	152.2	168.7	132.4	155.1	113.9	182.4	100.3	95.2	68.6	40.7	173.9	453.3	451.4	264.1	1347.6
2004   3	7.2	101.1	122.4	135.1	182.2	132.3	132.4	133.9	112.7	79.9	36.3	38.5	179	439.7	398.6	229	1244.1
2005   3	7.6	67.9	89.4	140.7	183.1	125.4	116.6	127.7	100.6	65.4	75.5	33.2	144	413.3	369.8	241.5	1163.3
2006   4	0.7	87.6	90.4	163.7	186.1	190.8	207.7	111.3	108.3	87.1	67.4	44	161.5	440.2	509.8	262.8	1385
2007   4	8.9	69.2	120.5	193.1	225.3	142.6	150.1	116.8	106.8	88.2	32.7	35.1	162	538.9	409.5	227.7	1329.2
2008   3	6.4	84.7	116.7	174.4	236	157.7	119.3	70.7	89.7	97.7	46.8	41.3	156.2	527.1	347.8	234.3	1271.6
2009   5	2.6	52.8	111.8	147.5	193.9	231.8	147.1	116.2	124.3	72.2	64.5	48.3	146.8	453.2	495	261.1	1363
2010   5	4.8	59.7	129.6	157.2	199.5	188	99.8	165.4	117.1	105.4	76.6	61.5	162.8	486.3	453.2	299.1	1414.5
2011   7	1.3	68.4	119.8	194.6	170.8	147.9	146.3	106.4	92.2	53.4	66.5	28.4	201.2	485.1	400.6	212.1	1265.9
2012   4	2.9	33.1	116.5	157.4	194.7	91.4	112.9	150.6	118.5	93.8	58.7	49.8	104.4	468.6	354.9	271	1220.3
2013   2	6.8	80	62.1	166.4	169.2	158.4	223.2	112	96.8	93.5	67.6	37.4	156.7	397.8	493.6	257.9	1293.5
2014   3	7.9	72.4	91.7	161.5	112.5	170.2	157	153.2	117.2	91.5	59	44	147.8	365.7	480.3	267.7	1268.1
2015   5	8.7	63.3	133.9	206.9	151	178	113.1	134.4	130.4	100.5	37.8	30.5	166	491.9	425.4	268.7	1338.5
2016   3	4.3	71.6	113.7	149.8	218.1	130.4	108.7	128.8	94.8	89.2	76	39.1	136.4	481.6	367.9	260	1254.5
2017   4	6.9	46.2	119.2	103.9	253.5	115.5	168.6	125.8	107.3	54.1	58.8	33.3	132.2	476.6	409.9	220.1	1233.1
2018   4	6.3	91.6	90.4	131	224.7	238.1	173.4	105	98.6				171.3	446.1	516.5		
